monId,branch,inn,kpp,Organization,total_count,ochno_count,vech_count,dpo,spo,vedomstvo,site,budget
110170,MAIN,3666134884,366101001,Автономная некоммерческая образовательная организация высшего образования Воронежский экономико-правовой институт,1709,417,363,501,371,Частные образовательные организации,http://www.vepi.ru,177176000
1996,MAIN,3662215130,366201001,Автономная некоммерческая образовательная организация высшего образования Международный институт компьютерных технологий,843,415,61,52,0,Частные образовательные организации,http://www.iict.ru,33047000
2071,MAIN,4629043454,463201001,Автономная некоммерческая образовательная организация высшего образования Региональный финансово-экономический институт,578,0,0,18,0,Частные образовательные организации,http://rfei.ru/,11873000
666667486,MAIN,5036171697,503601001,Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»  ,63,22,0,0,0,Частные образовательные организации,https://www.pssi-k.ru/,6678000
113493,MAIN,5032998454,773101001,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,557,557,0,47,0,Частные образовательные организации,www.skoltech.ru,1631848000
1845,MAIN,5029088494,502901001,Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации Российский университет кооперации,2414,765,263,802,1189,Частные образовательные организации,http://www.ruc.su,449721000
110295,MAIN,7717284888,771701001,Автономная некоммерческая организация  высшего  образования «Международная академия бизнеса и управления»,1087,309,389,0,0,Частные образовательные организации,http://www.mabiu.ru,125042000
113596,MAIN,7715492057,771501001,Автономная некоммерческая организация Образовательная организация высшего образования Институт театрального искусства,409,338,9,17,0,Частные образовательные организации,https://mos-iti.ru/,93404000
1847,MAIN,3123230987,312301001,"Автономная некоммерческая организация высшего образования Белгородский университет кооперации, экономики и права",2862,1268,475,1010,1427,Частные образовательные организации,http://www.bukep.ru,335647000
110188,MAIN,9717048820,771701001,Автономная некоммерческая организация высшего образования Гуманитарный институт (г. Москва),175,25,49,75,0,Частные образовательные организации,www.huminst.ru,8513000
110232,MAIN,7702472060,770201001,Автономная некоммерческая организация высшего образования Институт бизнеса и дизайна,1065,878,62,242,0,Частные образовательные организации,www.obe.ru,327310000
110216,MAIN,7709201704,772201001,Автономная некоммерческая организация Высшего Образования Институт деловой карьеры,7399,127,4036,0,0,Частные образовательные организации,http://www.ideka.ru,609300000
110222,MAIN,7715153720,502001001,Автономная некоммерческая организация высшего образования Институт информационных технологий экономики и менеджмента,266,115,37,0,0,Частные образовательные организации,http://иитэм.рф,15500000
1938,MAIN,7714424400,771401001,Автономная некоммерческая организация высшего образования Институт кино и телевидения (ГИТР),2089,1512,114,212,0,Частные образовательные организации,www.gitr.ru,462964000
2053,MAIN,7716824812,772901001,Автономная некоммерческая организация высшего образования Институт международных экономических связей,1401,432,498,149,0,Частные образовательные организации,https://imes.su/,279271000
110230,MAIN,7701360702,771001001,"Автономная некоммерческая организация высшего образования Институт менеджмента, экономики и инноваций",572,37,157,224,0,Частные образовательные организации,http://www.anoimei.ru,101098000
1860,MAIN,7721452574,772101001,Автономная некоммерческая организация высшего образования Институт непрерывного образования,6,0,0,219,0,Частные образовательные организации,http://www.icone.ru,2726000
110243,MAIN,7731346864,773101001,Автономная некоммерческая организация высшего образования Институт современного искусства,2126,1334,325,326,0,Частные образовательные организации,http://www.isi-vuz.ru,374804000
110248,MAIN,7709449783,770901001,Автономная некоммерческая организация высшего образования Институт социальных наук,48,46,0,26,0,Частные образовательные организации,http://mskisn.ru/,118685000
110271,MAIN,7702369070,771901001,Автономная некоммерческая организация высшего образования Институт экономики и управления в промышленности,27,0,12,0,0,Частные образовательные организации,http://ineup.ru/,13865000
1994,MAIN,6685142621,668501001,Автономная некоммерческая организация высшего образования Институт экономики и управления,100,0,15,0,0,Частные образовательные организации,i-eu.ru,6721000
1866,MAIN,7709492845,770901001,Автономная некоммерческая организация высшего образования Московская международная высшая школа бизнеса МИРБИС (Институт),214,36,20,987,0,Частные образовательные организации,http://www.mirbis.ru,383381000
110319,MAIN,7720490619,772001001,Автономная некоммерческая организация высшего образования Московский гуманитарный университет,3114,1115,493,353,1288,Частные образовательные организации,mosgu.ru,726365000
110324,MAIN,7723399502,772301001,Автономная некоммерческая организация высшего образования Московский институт современного академического образования,720,3,250,1669,0,Частные образовательные организации,http://www.misaoinst.ru,113796000
2012,MAIN,7725079226,772301001,Автономная некоммерческая организация высшего образования Московский информационно-технологический университет - Московский архитектурно-строительный институт ,2529,688,776,55,481,Частные образовательные организации,https://masi.ru/,550413000
2084,MAIN,7714046437,771401001,Автономная некоммерческая организация высшего образования МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ (АНОВО МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ),21850,2479,7051,261,0,Частные образовательные организации,https://mi.university/,1271624000
1926,MAIN,5003026479,500301001,Автономная некоммерческая организация высшего образования Московский региональный социально-экономический институт,479,125,103,250,266,Частные образовательные организации,http://www.mrsei.ru,71756000
110341,MAIN,7720316025,772001001,Автономная некоммерческая организация высшего образования Национальный институт бизнеса,1587,151,545,0,0,Частные образовательные организации,http://www.nibmoscow.ru,88167000
1944,MAIN,9705042180,770901001,Автономная некоммерческая организация высшего образования Национальный Институт Дизайна,691,427,264,26,198,Частные образовательные организации,niddesign.ru,153384000
666666786,MAIN,7709983145,770901001,"Автономная некоммерческая организация высшего образования Открытый университет экономики, управления и права",2318,1,585,0,0,Частные образовательные организации,www.ouep.ru,237413000
110899,MAIN,7702078233,770901001,Автономная некоммерческая организация высшего образования Российская академия предпринимательства,4,0,0,423,0,Частные образовательные организации,www.rusacad.ru,8243000
1840,MAIN,7710041290,770701001,Автономная некоммерческая организация высшего образования Российский православный университет святого Иоанна Богослова,286,255,0,44,0,Частные образовательные организации,http://МПИ.РФ,19133000
110393,MAIN,7709973940,770901001,Автономная некоммерческая организация высшего образования Славяно-Греко-Латинская Академия,219,187,20,377,0,Частные образовательные организации,http://www.sgla.ru,113986000
1833,MAIN,6230093603,623001001,Автономная некоммерческая организация высшего образования Современный технический университет,367,90,0,21,0,Частные образовательные организации,http://www.stirzn.ru,10911000
110214,MAIN,7719423181,771901001,Автономная некоммерческая организация высшего образования «Институт гуманитарного образования и информационных технологий»,254,104,144,47,0,Частные образовательные организации,www.igumo.ru,30743000
1882,MAIN,9702023365,772701001,Автономная некоммерческая организация высшего образования «Институт стран Востока»,154,154,0,175,0,Частные образовательные организации,http://www.orun.ru,48701000
2017,MAIN,7107134779,710701001,Автономная некоммерческая организация высшего образования «МЕЖДУНАРОДНАЯ ПОЛИЦЕЙСКАЯ АКАДЕМИЯ ВПА»,1845,2,1023,382,0,Частные образовательные организации,http://www.mpa71i.ru,155298000
